payments.Amount_in_USD,payments.Transaction_ID,users.devtodev_ID,payments.Date,users.Install_date
34.99,GPA.3342-6219-7417-35915,115243,1.59841E+12,1.59841E+12
1.99,GPA.3369-9253-1954-34560,115417,1.59845E+12,1.59845E+12
3.99,GPA.3351-6437-1737-29874,115430,1.59846E+12,1.59845E+12
3.99,GPA.3314-0200-8080-35571,115430,1.59846E+12,1.59845E+12
5.0764537,GPA.3340-4230-5353-89827,70582,1.59707E+12,1.59707E+12
5.0764537,GPA.3396-0455-7912-36869,70582,1.59708E+12,1.59707E+12
5.0764537,GPA.3370-6705-6580-39959,70582,1.59708E+12,1.59707E+12
2.4733493,GPA.3320-6556-5306-77942,95256,1.59758E+12,1.59757E+12
19.99,GPA.3305-2749-4186-11985,70333,1.59764E+12,1.59696E+12
17.99,GPA.3360-6138-7344-42764,70333,1.59764E+12,1.59696E+12
17.99,GPA.3301-4889-1925-73320,70333,1.59765E+12,1.59696E+12
5.0906506,GPA.3324-1462-2499-98959,95256,1.59767E+12,1.59757E+12
17.99,GPA.3315-5630-0242-22164,105110,1.59779E+12,1.59779E+12
5.107373,GPA.3303-8193-4627-57678,95256,1.59779E+12,1.59757E+12
5.107373,GPA.3301-2046-4994-76600,105295,1.59786E+12,1.59786E+12
4.614918,GPA.3311-3983-0929-14008,105475,1.59792E+12,1.59792E+12
4.614918,GPA.3352-2844-8631-62359,105475,1.59792E+12,1.59792E+12
3.99,GPA.3383-6170-3093-06552,105626,1.59802E+12,1.59798E+12
3.99,GPA.3368-2044-9582-47665,110063,1.59802E+12,1.59802E+12
3.99,GPA.3303-0079-3341-51755,110063,1.59802E+12,1.59802E+12
17.99,GPA.3305-8376-6073-92779,110063,1.59802E+12,1.59802E+12
17.99,GPA.3311-3792-6355-21048,105626,1.59805E+12,1.59798E+12
2.118792,GPA.3343-3609-1048-87658,110243,1.59811E+12,1.59811E+12
17.99,GPA.3311-0256-7330-30558,110063,1.5982E+12,1.59802E+12
2.4739158,GPA.3302-4311-0683-94927,110762,1.59823E+12,1.59823E+12
3.99,GPA.3303-2760-3590-63449,30256,1.59634E+12,1.59634E+12
17.99,GPA.3357-9480-0089-20253,30256,1.59634E+12,1.59634E+12
19.99,GPA.3341-9302-1416-71784,30457,1.59643E+12,1.59643E+12
17.99,GPA.3331-8613-1446-12821,30457,1.59643E+12,1.59643E+12
24.851727,GPA.3344-3739-5567-80994,30397,1.59659E+12,1.59641E+12
5.0907435,GPA.3352-8173-8971-17119,30397,1.59659E+12,1.59641E+12
19.99,GPA.3363-8380-0121-27778,30054,1.59616E+12,1.59616E+12
3.99,GPA.3336-1605-3315-19374,105565,1.59797E+12,1.59797E+12
1.99,GPA.3348-9444-6969-06392,105565,1.59797E+12,1.59797E+12
1.99,GPA.3303-3627-6440-38805,105565,1.59812E+12,1.59797E+12
17.99,GPA.3313-4623-8225-58181,110314,1.59812E+12,1.59812E+12
17.99,GPA.3321-4314-0160-17259,110314,1.59813E+12,1.59812E+12
17.99,GPA.3337-0600-3652-79833,110454,1.59815E+12,1.59815E+12
17.99,GPA.3391-4541-9584-57657,110314,1.59816E+12,1.59812E+12
17.99,GPA.3338-7061-2971-43881,110314,1.59816E+12,1.59812E+12
9.99,GPA.3300-2031-8323-83881,110314,1.59819E+12,1.59812E+12
17.99,GPA.3386-7572-5727-66914,110454,1.5982E+12,1.59815E+12
3.99,GPA.3368-3577-7001-26692,110430,1.59822E+12,1.59814E+12
17.99,GPA.3339-8580-2456-84288,110314,1.59822E+12,1.59812E+12
3.99,GPA.3381-9690-2751-37035,110430,1.59823E+12,1.59814E+12
3.99,GPA.3314-5575-9950-86701,110430,1.59823E+12,1.59814E+12
19.99,GPA.3366-5799-9989-88917,65162,1.59679E+12,1.59679E+12
3.99,GPA.3359-3993-6982-56753,65162,1.59679E+12,1.59679E+12
3.99,GPA.3325-8467-9236-59404,115197,1.59844E+12,1.5984E+12
1.99,GPA.3389-0321-6112-19551,115197,1.59844E+12,1.5984E+12
4.1671314,GPA.3306-5636-2084-92608,115632,1.59849E+12,1.59849E+12
4.6202197,GPA.3305-7144-2056-44372,35012,1.59723E+12,1.59645E+12
1.99,GPA.3301-1082-4195-76110,85104,1.5973E+12,1.59729E+12
3.99,GPA.3326-8726-1162-10489,85164,1.59734E+12,1.59734E+12
3.99,GPA.3381-1539-7011-12802,85164,1.59735E+12,1.59734E+12
3.99,GPA.3364-7677-1249-96379,85164,1.59736E+12,1.59734E+12
19.99,GPA.3398-2459-8549-32505,95230,1.59755E+12,1.59755E+12
3.99,GPA.3359-3874-4561-91945,95515,1.59772E+12,1.59772E+12
2.4814742,GPA.3374-4374-2124-31171,105005,1.59776E+12,1.59776E+12
5.107373,GPA.3305-7947-8995-71886,105005,1.59776E+12,1.59776E+12
5.107373,GPA.3324-1694-7613-64106,105005,1.59776E+12,1.59776E+12
5.107373,GPA.3381-8091-2511-32470,105005,1.59778E+12,1.59776E+12
17.99,GPA.3390-6157-8067-51796,105204,1.59782E+12,1.59782E+12
3.99,GPA.3350-9111-5809-42872,115052,1.59838E+12,1.59838E+12
4.6301317,GPA.3342-0500-2788-06637,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3317-3467-4612-76240,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3397-8634-1409-91212,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3334-3691-3362-45523,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3306-9365-8351-88569,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3395-3635-5414-92184,35012,1.59646E+12,1.59645E+12
2.2758274,GPA.3331-9043-4644-36208,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3348-3705-3940-66935,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3341-5711-8541-62535,35012,1.59646E+12,1.59645E+12
4.6301317,GPA.3368-3691-1164-33998,35012,1.59646E+12,1.59645E+12
4.666181,GPA.3374-1230-3394-63582,35012,1.5967E+12,1.59645E+12
4.666181,GPA.3342-2554-9924-13093,35012,1.5967E+12,1.59645E+12
4.666181,GPA.3372-5132-8018-56425,35012,1.5967E+12,1.59645E+12
2.2935467,GPA.3373-9486-8863-34778,35012,1.5967E+12,1.59645E+12
4.666181,GPA.3321-2801-9532-07102,35012,1.5967E+12,1.59645E+12
4.666181,GPA.3328-0084-0341-77013,35012,1.5967E+12,1.59645E+12
4.666181,GPA.3300-8386-0098-66156,35012,1.5967E+12,1.59645E+12
3.99,GPA.3357-4938-9696-82207,40176,1.59684E+12,1.59661E+12
4.682445,GPA.3389-3799-6636-40869,70128,1.59686E+12,1.59686E+12
3.99,GPA.3371-0904-4155-34532,15046,1.59596E+12,1.59595E+12
3.99,GPA.3333-9274-3349-75528,15046,1.59596E+12,1.59595E+12
3.99,GPA.3318-0140-6782-55591,15046,1.59596E+12,1.59595E+12
3.99,GPA.3386-1503-6446-71175,15046,1.59596E+12,1.59595E+12
3.99,GPA.3311-4243-9903-00001,15046,1.59596E+12,1.59595E+12
1.99,GPA.3321-8284-2070-75840,15046,1.59597E+12,1.59595E+12
3.99,GPA.3397-0899-2272-19872,15046,1.59597E+12,1.59595E+12
3.99,GPA.3348-3513-0013-85615,15046,1.59597E+12,1.59595E+12
3.99,GPA.3354-2497-7883-03796,30072,1.5962E+12,1.59618E+12
3.99,GPA.3368-9740-0616-43379,30072,1.5962E+12,1.59618E+12
1.99,GPA.3383-4109-9646-94990,30072,1.5962E+12,1.59618E+12
3.99,GPA.3339-1775-5358-73981,110774,1.5984E+12,1.59823E+12
1.99,GPA.3342-4259-1148-36361,30435,1.59642E+12,1.59642E+12
3.99,GPA.3332-8883-1743-46732,65097,1.59677E+12,1.59677E+12
3.99,GPA.3367-2379-5758-01712,65097,1.59677E+12,1.59677E+12
5.1021147,GPA.3355-9608-6227-69444,70268,1.59693E+12,1.59693E+12
3.99,GPA.3392-1715-4832-97173,65097,1.5973E+12,1.59677E+12
17.99,GPA.3310-1640-3487-13355,105070,1.59778E+12,1.59776E+12
17.99,GPA.3339-2893-1337-52671,105070,1.59781E+12,1.59776E+12
17.99,GPA.3377-0830-1504-91166,105070,1.59783E+12,1.59776E+12
17.99,GPA.3346-4866-6937-41070,105070,1.59784E+12,1.59776E+12
3.99,GPA.3398-0106-1780-70264,95513,1.5979E+12,1.59772E+12
1.99,GPA.3339-2995-8257-61450,95513,1.59791E+12,1.59772E+12
3.99,GPA.3384-8344-0646-67467,95513,1.59791E+12,1.59772E+12
19.99,GPA.3370-9935-1006-43027,110594,1.59819E+12,1.59819E+12
34.99,GPA.3379-8609-3763-98479,110594,1.59819E+12,1.59819E+12
17.99,GPA.3379-4966-5445-37058,110594,1.59819E+12,1.59819E+12
3.99,GPA.3307-4461-7754-02420,110597,1.5982E+12,1.59819E+12
3.99,GPA.3390-9899-3816-28625,110634,1.5982E+12,1.5982E+12
3.99,GPA.3380-0333-5589-76282,110634,1.59821E+12,1.5982E+12
3.99,GPA.3307-8314-6667-24444,110634,1.59821E+12,1.5982E+12
5.0918164,GPA.3359-5486-6840-01669,80120,1.59821E+12,1.59722E+12
22.239063,GPA.3348-8005-9391-02192,80120,1.59821E+12,1.59722E+12
22.239063,GPA.3349-9217-3293-42089,80120,1.59829E+12,1.59722E+12
5.0918164,GPA.3353-7972-8352-45683,80120,1.5983E+12,1.59722E+12
22.259577,GPA.3350-5062-0532-31841,80120,1.59837E+12,1.59722E+12
17.99,GPA.3323-6252-0396-30117,115027,1.59841E+12,1.59837E+12
3.99,GPA.3330-6822-5650-22642,115027,1.59846E+12,1.59837E+12
3.99,GPA.3302-9087-3836-82472,70315,1.59695E+12,1.59695E+12
35.229538,GPA.3383-1029-3211-90402,85147,1.59735E+12,1.59733E+12
3.99,GPA.3330-8239-4355-59091,115027,1.59837E+12,1.59837E+12
3.99,GPA.3310-1154-3512-17659,115027,1.59837E+12,1.59837E+12
1.99,GPA.3339-9130-6913-34942,115027,1.59838E+12,1.59837E+12
1.99,GPA.3300-5848-4207-00153,111007,1.59838E+12,1.59829E+12
2.4727993,GPA.3327-7820-9564-75466,35026,1.59647E+12,1.59646E+12
19.99,GPA.3338-3843-1269-76505,20069,1.59607E+12,1.59607E+12
3.99,GPA.3380-3935-1004-50389,20069,1.59607E+12,1.59607E+12
17.99,GPA.3342-0110-1987-03944,20094,1.59609E+12,1.59609E+12
3.99,GPA.3392-1162-0974-10819,110627,1.59846E+12,1.5982E+12
3.99,GPA.3347-0343-3570-37384,115607,1.59849E+12,1.59849E+12
3.99,GPA.3379-6562-0419-94523,115607,1.5985E+12,1.59849E+12
3.99,GPA.3352-5151-7417-65861,115607,1.5985E+12,1.59849E+12
5.1021147,GPA.3334-7234-8173-45059,70170,1.59689E+12,1.59689E+12
3.99,GPA.3322-3944-3819-57638,70720,1.59712E+12,1.59712E+12
3.99,GPA.3317-9870-3489-81612,70720,1.59712E+12,1.59712E+12
3.99,GPA.3342-0618-8904-14794,70720,1.59712E+12,1.59712E+12
3.99,GPA.3381-1236-0961-62066,70720,1.59712E+12,1.59712E+12
1.99,GPA.3346-8834-1446-88835,70720,1.59712E+12,1.59712E+12
3.99,GPA.3366-5244-5020-04242,70720,1.59712E+12,1.59712E+12
3.99,GPA.3350-8461-3689-37175,70720,1.59712E+12,1.59712E+12
4.1174607,GPA.3385-9387-3353-38213,80034,1.59717E+12,1.59717E+12
1.99,GPA.3310-9045-4382-37111,95057,1.59745E+12,1.59745E+12
3.99,GPA.3367-0736-6571-47128,95057,1.59745E+12,1.59745E+12
1.99,GPA.3321-0049-8823-36400,95057,1.59745E+12,1.59745E+12
3.99,GPA.3321-0927-8916-91204,105174,1.59781E+12,1.59781E+12
17.99,GPA.3393-3983-2418-98633,105174,1.59781E+12,1.59781E+12
22.307009,GPA.3369-4020-2441-18137,105324,1.59788E+12,1.59787E+12
3.99,GPA.3360-1605-7928-54908,105571,1.59803E+12,1.59797E+12
3.99,GPA.3343-9907-5677-01300,105571,1.59803E+12,1.59797E+12
17.99,GPA.3356-1820-3136-14349,110079,1.59803E+12,1.59803E+12
9.99,GPA.3321-8471-3454-75203,110079,1.59803E+12,1.59803E+12
17.99,GPA.3377-7733-0755-30182,110079,1.59807E+12,1.59803E+12
4.64697,GPA.3307-5119-2867-23711,110486,1.59817E+12,1.59816E+12
19.99,GPA.3306-2085-3036-01654,110627,1.5982E+12,1.5982E+12
3.99,GPA.3320-8606-0803-25620,110627,1.5982E+12,1.5982E+12
3.99,GPA.3340-4069-3022-87423,110627,1.5983E+12,1.5982E+12
3.99,GPA.3372-5223-4378-20234,110170,1.5983E+12,1.59808E+12
3.99,GPA.3327-5781-6126-02667,110170,1.5983E+12,1.59808E+12
5.0918164,GPA.3323-3832-6021-99994,111056,1.5983E+12,1.5983E+12
5.0918164,GPA.3385-5479-0495-60351,111056,1.5983E+12,1.5983E+12
22.239063,GPA.3389-1783-5321-54688,111056,1.59831E+12,1.5983E+12
11.767462,GPA.3334-6005-2261-06444,111056,1.59831E+12,1.5983E+12
22.239063,GPA.3339-6210-4372-64472,111056,1.59831E+12,1.5983E+12
17.99,GPA.3366-7638-9135-02551,20069,1.59627E+12,1.59607E+12
3.99,GPA.3333-9446-2377-36461,20069,1.59627E+12,1.59607E+12
4.6754823,GPA.3397-0046-6730-38214,30127,1.59628E+12,1.59623E+12
22.229025,GPA.3380-3259-8063-64068,35071,1.59652E+12,1.59648E+12
3.99,GPA.3353-8775-0675-61031,40163,1.5966E+12,1.5966E+12
3.99,GPA.3302-9435-9159-54415,40163,1.59677E+12,1.5966E+12
5.104739,GPA.3304-0636-7056-54092,50134,1.5968E+12,1.5967E+12
2.4801946,GPA.3394-1848-7940-33960,50134,1.5968E+12,1.5967E+12
5.104739,GPA.3352-6868-8354-31291,50134,1.5968E+12,1.5967E+12
4.9758945,GPA.3380-1375-0640-14195,10002,1.59584E+12,1.59584E+12
4.9758945,GPA.3380-8319-0064-95964,10002,1.59584E+12,1.59584E+12
2.417594,GPA.3387-2358-2147-13984,10002,1.59584E+12,1.59584E+12
4.9758945,GPA.3306-9816-5962-47002,10002,1.59586E+12,1.59584E+12
19.99,GPA.3336-5209-3410-35771,15126,1.596E+12,1.59599E+12
3.99,GPA.3373-4054-3196-93494,15126,1.596E+12,1.59599E+12
5.0512724,GPA.3329-1382-1297-49777,30012,1.59614E+12,1.59614E+12
3.99,GPA.3383-9018-4583-79439,30065,1.59617E+12,1.59617E+12
17.99,GPA.3392-0288-4696-66781,115127,1.59839E+12,1.59839E+12
3.99,GPA.3313-6982-1728-06585,115178,1.5984E+12,1.5984E+12
3.99,GPA.3310-9453-2280-32851,115385,1.59845E+12,1.59844E+12
3.99,GPA.3374-0941-2644-87165,115385,1.59845E+12,1.59844E+12
17.99,GPA.3338-2053-8621-22648,80085,1.5972E+12,1.5972E+12
42.32977,GPA.3373-2879-2243-14662,75007,1.59724E+12,1.59714E+12
19.99,GPA.3373-3351-1342-11234,90063,1.59739E+12,1.59739E+12
17.99,GPA.3392-8574-6112-73773,90063,1.59739E+12,1.59739E+12
17.99,GPA.3363-2117-6270-60797,90063,1.59739E+12,1.59739E+12
17.99,GPA.3393-7594-2305-36280,90063,1.59742E+12,1.59739E+12
3.99,GPA.3323-2478-7339-34475,80085,1.59744E+12,1.5972E+12
17.99,GPA.3304-2781-2555-15032,80085,1.59744E+12,1.5972E+12
19.99,GPA.3332-7739-8005-73741,105062,1.59778E+12,1.59778E+12
18.179502,GPA.3306-0192-1633-20316,105287,1.59786E+12,1.59786E+12
5.146796,GPA.3385-2252-1312-77078,110034,1.59801E+12,1.59801E+12
22.479195,GPA.3364-6913-3506-69814,110036,1.59801E+12,1.59801E+12
5.146796,GPA.3309-5022-6334-71717,110029,1.59801E+12,1.59801E+12
2.5006285,GPA.3325-1812-9530-17324,110029,1.59801E+12,1.59801E+12
112.44889,GPA.3367-9538-4259-82635,110036,1.59801E+12,1.59801E+12
22.479195,GPA.3302-0666-1891-62642,110036,1.59801E+12,1.59801E+12
42.527794,GPA.3329-7587-8229-69024,110036,1.59825E+12,1.59801E+12
19.99,GPA.3377-2943-4424-61627,30011,1.59618E+12,1.59614E+12
3.99,GPA.3362-1846-5284-80190,30011,1.59618E+12,1.59614E+12
3.99,GPA.3340-3029-0581-28702,30011,1.59618E+12,1.59614E+12
17.99,GPA.3396-3056-3898-74883,40167,1.59688E+12,1.59661E+12
34.99,GPA.3398-3070-9877-68376,70258,1.59693E+12,1.59693E+12
3.99,GPA.3308-2436-6271-58067,70258,1.59706E+12,1.59693E+12
3.99,GPA.3394-0195-6294-88053,30011,1.59708E+12,1.59614E+12
3.99,GPA.3318-7077-5992-47033,30011,1.59708E+12,1.59614E+12
3.99,GPA.3378-3100-5433-84973,30011,1.59708E+12,1.59614E+12
3.99,GPA.3382-5858-3770-37619,30011,1.59708E+12,1.59614E+12
3.99,GPA.3339-5820-7203-48280,30011,1.59708E+12,1.59614E+12
3.99,GPA.3320-9653-0187-61642,80087,1.5972E+12,1.5972E+12
3.99,GPA.3345-1150-2895-37951,95357,1.59763E+12,1.59763E+12
3.99,GPA.3319-7822-9337-96278,105205,1.59782E+12,1.59782E+12
3.99,GPA.3370-9222-8260-89599,105205,1.59782E+12,1.59782E+12
17.99,GPA.3367-7341-8156-54089,105205,1.59784E+12,1.59782E+12
5.107373,GPA.3388-3700-9814-31731,105347,1.59788E+12,1.59788E+12
3.99,GPA.3399-3984-5793-26062,105586,1.59797E+12,1.59797E+12
3.99,GPA.3393-6258-5898-10688,110169,1.59808E+12,1.59808E+12
3.99,GPA.3390-3196-6350-53756,110169,1.59808E+12,1.59808E+12
3.99,GPA.3328-6431-5332-18587,110169,1.59808E+12,1.59808E+12
3.99,GPA.3369-1780-7125-95254,110169,1.59808E+12,1.59808E+12
3.99,GPA.3325-1409-2931-85084,105107,1.59815E+12,1.59779E+12
3.99,GPA.3393-3955-6988-67218,105107,1.59816E+12,1.59779E+12
3.99,GPA.3356-7916-0695-19873,105107,1.59825E+12,1.59779E+12
5.0918164,GPA.3362-4338-5658-63117,111023,1.5983E+12,1.5983E+12
22.310846,GPA.3328-6993-0160-77023,15107,1.59629E+12,1.59598E+12
17.99,GPA.3318-0938-5899-72811,35117,1.5965E+12,1.59649E+12
3.99,GPA.3315-6576-9093-90567,35117,1.59654E+12,1.59649E+12
3.99,GPA.3384-4671-0749-65852,35117,1.59654E+12,1.59649E+12
3.99,GPA.3382-0313-5399-26570,35117,1.59655E+12,1.59649E+12
3.99,GPA.3377-8112-1841-27842,35117,1.59656E+12,1.59649E+12
3.99,GPA.3397-9501-5629-55926,35117,1.59656E+12,1.59649E+12
17.99,GPA.3332-1111-8422-42357,35117,1.59656E+12,1.59649E+12
3.99,GPA.3334-2004-3306-97592,35117,1.59658E+12,1.59649E+12
3.99,GPA.3378-0842-0315-51706,35117,1.59659E+12,1.59649E+12
3.99,GPA.3376-2005-8027-52172,50001,1.59666E+12,1.59665E+12
17.99,GPA.3316-6861-9269-84756,40167,1.59679E+12,1.59661E+12
19.99,GPA.3377-7398-0907-12363,95154,1.59751E+12,1.59751E+12
17.99,GPA.3339-3405-3112-37200,95154,1.59751E+12,1.59751E+12
3.99,GPA.3336-5147-6560-47618,95154,1.59752E+12,1.59751E+12
3.99,GPA.3366-3287-5748-72544,95154,1.59752E+12,1.59751E+12
5.107373,GPA.3319-6265-9246-99401,105328,1.59788E+12,1.59787E+12
4.614918,GPA.3325-5783-0203-41147,105394,1.59789E+12,1.59789E+12
4.614918,GPA.3328-9950-5561-97315,105394,1.59789E+12,1.59789E+12
5.1514993,GPA.3340-2387-8319-07324,105328,1.59792E+12,1.59787E+12
5.1514993,GPA.3384-1378-5708-26301,105328,1.59792E+12,1.59787E+12
5.1514993,GPA.3335-4270-0786-77247,105328,1.59794E+12,1.59787E+12
5.1514993,GPA.3300-6765-6938-17104,105328,1.59794E+12,1.59787E+12
4.6512194,GPA.3356-7837-8179-97417,111117,1.59836E+12,1.59831E+12
4.6512194,GPA.3372-9194-5462-79307,111117,1.59836E+12,1.59831E+12
2.4761977,GPA.3320-3564-6440-92078,111060,1.59837E+12,1.5983E+12
3.99,GPA.3387-9214-0030-40331,30404,1.59641E+12,1.59641E+12
3.99,GPA.3324-0751-3700-19149,30404,1.59641E+12,1.59641E+12
3.99,GPA.3336-1153-3037-04167,35123,1.59649E+12,1.59649E+12
17.99,GPA.3301-0084-2268-07375,35123,1.59652E+12,1.59649E+12
17.99,GPA.3341-6224-5850-53853,35123,1.59656E+12,1.59649E+12
34.99,GPA.3308-1664-7839-40272,35123,1.5966E+12,1.59649E+12
3.99,GPA.3388-0506-8988-27713,70090,1.59684E+12,1.59684E+12
34.99,GPA.3375-3194-5778-63752,115089,1.59838E+12,1.59838E+12
9.99,GPA.3335-7381-6585-62926,115089,1.59839E+12,1.59838E+12
3.99,GPA.3369-8535-5006-27129,115478,1.59846E+12,1.59846E+12
3.99,GPA.3378-7338-2417-32709,115478,1.59847E+12,1.59846E+12
3.99,GPA.3352-4534-9245-09218,70649,1.5971E+12,1.59709E+12
3.99,GPA.3386-1796-9235-10115,80128,1.59723E+12,1.59723E+12
3.99,GPA.3382-9834-9192-59932,85099,1.59754E+12,1.59729E+12
3.99,GPA.3359-7745-4494-74614,95464,1.5977E+12,1.5977E+12
17.99,GPA.3391-8962-0265-80337,105052,1.59777E+12,1.59777E+12
3.99,GPA.3382-9887-7100-57083,105191,1.59782E+12,1.59782E+12
3.99,GPA.3351-3059-9030-16322,105191,1.59782E+12,1.59782E+12
1.99,GPA.3384-0782-6148-25958,105191,1.59782E+12,1.59782E+12
3.99,GPA.3353-8299-1449-73389,105191,1.59782E+12,1.59782E+12
3.99,GPA.3358-3068-5500-83858,105191,1.59782E+12,1.59782E+12
3.99,GPA.3375-9019-0943-01812,105191,1.59783E+12,1.59782E+12
19.99,GPA.3302-6624-1178-05866,105380,1.59802E+12,1.59789E+12
3.99,GPA.3350-9279-3160-66191,105380,1.59822E+12,1.59789E+12
3.99,GPA.3380-2810-1283-23176,110991,1.59829E+12,1.59829E+12
3.99,GPA.3377-2695-8751-45598,111053,1.59832E+12,1.5983E+12
3.99,GPA.3349-5114-1019-55478,111053,1.59832E+12,1.5983E+12
3.99,GPA.3322-8316-1253-58439,111160,1.59832E+12,1.59832E+12
3.99,GPA.3352-6019-2618-99821,35113,1.59649E+12,1.59649E+12
3.99,GPA.3360-4843-4237-62898,35113,1.59649E+12,1.59649E+12
3.99,GPA.3346-4121-6342-91999,35113,1.59649E+12,1.59649E+12
3.99,GPA.3328-0909-1106-81240,35113,1.5965E+12,1.59649E+12
3.99,GPA.3364-2112-2551-95254,35113,1.5965E+12,1.59649E+12
3.99,GPA.3355-4154-4506-30676,35113,1.5965E+12,1.59649E+12
3.99,GPA.3351-6430-9871-11295,35113,1.5965E+12,1.59649E+12
3.99,GPA.3333-1061-9299-10987,35113,1.59651E+12,1.59649E+12
3.99,GPA.3328-3028-9454-08090,35113,1.59651E+12,1.59649E+12
42.518833,GPA.3325-8786-8851-23670,40051,1.59657E+12,1.59656E+12
2.4733946,GPA.3321-6654-7206-61688,40051,1.59657E+12,1.59656E+12
42.518833,GPA.3362-0168-9494-83000,40051,1.5966E+12,1.59656E+12
2.4733946,GPA.3396-1350-2130-96932,40051,1.5966E+12,1.59656E+12
5.104739,GPA.3358-5700-2915-39362,40209,1.59676E+12,1.59663E+12
3.99,GPA.3304-1664-6707-71258,115159,1.59839E+12,1.59839E+12
3.99,GPA.3321-8481-8512-70564,70518,1.59704E+12,1.59704E+12
3.99,GPA.3368-5180-9874-63412,95481,1.5977E+12,1.5977E+12
3.99,GPA.3346-6549-8553-56130,95481,1.5977E+12,1.5977E+12
3.99,GPA.3328-5727-4152-92840,70409,1.59804E+12,1.597E+12
19.99,GPA.3333-8270-7098-43157,110346,1.59813E+12,1.59812E+12
17.99,GPA.3321-3796-9500-11625,110346,1.59813E+12,1.59812E+12
17.99,GPA.3363-4010-9288-58678,110346,1.59813E+12,1.59812E+12
5.089518,GPA.3396-5284-1857-16781,35007,1.59645E+12,1.59645E+12
5.089518,GPA.3367-9548-1458-64881,35007,1.59645E+12,1.59645E+12
2.4727993,GPA.3394-9618-7373-75672,35007,1.59645E+12,1.59645E+12
5.089518,GPA.3366-0498-0197-05257,35007,1.59645E+12,1.59645E+12
2.4727993,GPA.3379-9956-7704-76811,35007,1.59645E+12,1.59645E+12
22.229025,GPA.3343-4169-4218-28478,35007,1.59645E+12,1.59645E+12
2.4727993,GPA.3342-5130-0161-11009,35007,1.59648E+12,1.59645E+12
20.136126,GPA.3323-0948-6809-97585,35122,1.59649E+12,1.59649E+12
4.0958624,GPA.3300-2167-8409-83054,35122,1.59649E+12,1.59649E+12
2.4340363,GPA.3356-2779-4025-47475,15059,1.59598E+12,1.59596E+12
2.4340363,GPA.3360-0563-2284-57660,15059,1.59598E+12,1.59596E+12
1.99,GPA.3376-3412-1857-32065,15129,1.596E+12,1.59599E+12
4.6500764,GPA.3358-5228-6678-89131,20016,1.59603E+12,1.59602E+12
4.6500764,GPA.3350-8489-2374-02564,20016,1.59603E+12,1.59602E+12
24.87989,GPA.3308-7076-0770-10979,115471,1.59846E+12,1.59846E+12
5.096513,GPA.3348-5561-0419-89392,115471,1.59847E+12,1.59846E+12
17.99,GPA.3373-1508-2561-07263,115676,1.59851E+12,1.5985E+12
3.99,GPA.3310-7040-7531-87311,70585,1.59707E+12,1.59707E+12
3.99,GPA.3305-8521-4207-80720,95539,1.59773E+12,1.59773E+12
3.99,GPA.3300-1840-1201-92030,95539,1.59782E+12,1.59773E+12
3.99,GPA.3346-0817-3857-95036,105252,1.59785E+12,1.59785E+12
17.99,GPA.3310-1377-9436-21883,105252,1.59785E+12,1.59785E+12
1.99,GPA.3301-9779-0107-77601,105252,1.59785E+12,1.59785E+12
3.99,GPA.3314-6890-8303-96240,105252,1.59786E+12,1.59785E+12
3.99,GPA.3392-7101-0843-24062,105252,1.59786E+12,1.59785E+12
3.99,GPA.3320-1856-2301-80515,105252,1.59793E+12,1.59785E+12
3.99,GPA.3346-2475-5177-26927,105252,1.59793E+12,1.59785E+12
17.99,GPA.3343-7596-1322-77506,105252,1.59793E+12,1.59785E+12
1.99,GPA.3331-6865-7702-67825,105252,1.59793E+12,1.59785E+12
3.99,GPA.3319-8532-7684-33771,110150,1.59807E+12,1.59806E+12
4.64697,GPA.3319-6400-8255-60338,110589,1.59819E+12,1.59819E+12
5.1082516,GPA.3303-1054-2843-75680,30182,1.59628E+12,1.59628E+12
5.1082516,GPA.3365-1389-4289-39665,30182,1.59628E+12,1.59628E+12
5.1082516,GPA.3358-3127-7490-66920,30182,1.59628E+12,1.59628E+12
5.1082516,GPA.3331-0395-2059-69946,30182,1.59628E+12,1.59628E+12
22.310846,GPA.3341-5249-2052-30197,30182,1.59628E+12,1.59628E+12
2.4819012,GPA.3352-5861-6365-22447,30182,1.59628E+12,1.59628E+12
22.310846,GPA.3397-2926-6341-80835,30182,1.59629E+12,1.59628E+12
22.310846,GPA.3306-5273-9575-93173,30182,1.59629E+12,1.59628E+12
2.4819012,GPA.3319-5298-8485-44572,30182,1.59629E+12,1.59628E+12
3.99,GPA.3355-7182-9661-15825,30194,1.5963E+12,1.59629E+12
3.99,GPA.3353-8065-6162-02848,30194,1.5963E+12,1.59629E+12
3.99,GPA.3319-6385-6495-39732,30194,1.5963E+12,1.59629E+12
3.99,GPA.3303-6579-0240-33478,30475,1.59644E+12,1.59644E+12
3.99,GPA.3344-5155-4165-97195,70095,1.59685E+12,1.59685E+12
9.99,GPA.3362-1880-8639-50546,70095,1.59685E+12,1.59685E+12
3.99,GPA.3349-3438-8830-30173,70095,1.59685E+12,1.59685E+12
